word,count
dejection,2
sorrows,1
accident,2
beautiful,13
fashion,1
killed,1
side,2
plants,4
One,23
halfsmile,1
serious,4
forgotten,2
precious,1
terrible,3
lights,3
rage,1
snow,2
remarked,1
laughing,3
darkened,1
ideas,1
silk,1
sweet,2
used,2
eye,3
confidences,1
modestly,1
Please,3
At,11
abyss,1
funny,4
timidly,1
altogether,5
astonishment,1
down,26
wise,1
dangerous,1
beg,2
Does,1
succeed,1
baobabs,16
entirely,1
pulling,1
retorted,1
insubordination,1
empties,1
On,12
please,5
courteously,2
Has,3
metallic,1
interesting,4
register,1
trouble,7
ties,2
Clad,1
secret,6
finger,2
read,1
number,4
butterflies,4
Its,1
majestically,1
able,13
yawning,2
eruptions,2
behind,2
failure,1
ways,1
frightful,1
thunderstruck,3
hurry,4
for,116
intelligent,1
resemblance,1
movements,1
shop,1
post,1
hesitancy,1
Fortunately,1
body,3
tippler,9
moral,2
impressive,2
shrugging,1
nursing,1
politics,1
Who,4
tire,1
reassure,2
refuses,1
infested,1
regulated,1
invented,1
find,10
favourable,2
wild,1
monotony,1
produce,1
Dear,1
rock,1
conditions,2
knowing,1
false,1
standing,2
question,14
monarch,3
duty,1
fourth,2
Well,2
creature,3
wanders,1
author,1
feel,3
hastened,1
thunder,2
working,2
demanded,10
people,14
resentfulness,1
disturbing,1
festival,1
painters,1
asleep,3
reach,3
begin,3
children,5
proposed,1
any,43
lead,2
plant,2
Whatever,1
pocket,3
With,1
calculations,1
thirst,4
awkward,1
Once,4
random,1
feverish,1
stage,1
across,3
tragedy,1
B612,3
years,12
window,1
young,2
gold,2
rid,1
Phew,1
Nature,1
For,18
twenty,4
name,1
lazy,3
huge,1
Five,2
Other,1
grace,1
this,75
mere,1
perplexed,1
count,3
death,7
plainly,1
lives,1
underneath,1
wearing,1
instead,3
in,169
move,5
regard,1
danced,1
Sire,2
sand,10
ought,6
geographer,22
reverie,1
dream,2
myself,20
have,140
learned,7
neck,2
your,36
heard,3
lay,3
toil,1
off,6
weigh,1
apparition,2
once,18
suspicious,1
fair,1
point,1
regret,2
temples,1
success,1
bottles,2
Indeed,1
astounded,1
show,3
reputation,2
bit,2
breakdown,1
are,130
is,297
sheep,40
afar,1
firmly,1
How,8
source,1
Are,6
thirsty,4
learn,3
belonged,1
absence,1
magnificent,8
his,115
why,8
wait,4
task,1
yonder,1
knows,9
impress,1
require,2
opera,1
stones,2
demonstration,2
directed,1
agree,1
tie,3
too,43
radiation,1
South,2
among,8
honey,2
course,2
Minister,2
force,1
guessing,1
hunger,1
realised,3
Negro,1
puff,1
carriage,1
plea,1
inconsistent,1
conversation,2
hungry,1
462511,1
reserve,1
precision,1
plane,4
sends,1
somewhat,1
makes,7
step,4
overtake,1
breathed,2
drawn,3
effort,4
purple,1
lamplighter,12
naive,1
burn,1
speedy,2
seen,9
lips,2
stars,41
Again,1
crammed,1
forbearance,1
said,196
sharpened,2
empty,2
location,1
explorer,10
abandoned,1
sits,1
All,6
smallest,1
alight,2
Computations,1
sheltered,1
subject,4
hard,4
jumped,1
try,4
cabbages,1
already,10
tiny,2
break,1
sprout,2
soon,4
collection,2
kindness,3
boa,12
abruptly,2
nobody,10
silent,4
got,4
grass,5
inoffensively,1
shipwrecked,1
ram,1
neckties,1
strap,1
given,6
gathered,1
observe,1
song,2
less,1
am,55
hides,1
They,27
shook,1
size,1
happier,2
hands,4
real,1
fiftythree,3
furnish,1
riddles,2
than,15
laced,1
disturbed,4
islet,1
carried,1
four,7
rusty,1
smiled,2
occupied,1
midair,1
fairly,1
chickens,5
surface,1
worst,1
facing,1
redfaced,2
familiar,1
puts,1
shell,2
seed,3
Look,4
depend,1
sixhundredtwentytwothousand,1
twined,1
mystery,3
examining,1
Draw,3
want,18
history,2
1920,1
three,13
gentleman,4
walked,1
experts,1
etiquette,1
bear,1
irritated,1
late,1
arrested,1
dared,1
gently,3
shine,1
wrong,4
Midnight,1
dare,3
urgent,1
himself,31
field,1
seized,2
sit,4
recount,1
disarranged,1
secrets,1
recognises,1
twelve,1
fresh,6
indulgently,1
model,1
meeting,1
odd,3
exclaimed,3
timid,1
jumping,1
thought,11
wells,3
yes,3
This,20
After,6
In,9
vineyards,1
but,33
Majesty,1
poetic,2
lets,1
whether,3
breaking,1
bundles,1
subjects,2
sure,11
dropped,4
explained,2
land,1
misfortunes,1
solve,2
She,10
311000000,1
snakes,2
touch,1
dune,1
laughter,5
kings,4
1943,1
lonely,2
best,4
weapons,1
fainting,1
Something,1
foxes,2
darkness,2
desert,15
becomes,1
Forget,2
essential,3
spend,1
giving,1
fancy,1
weeds,1
proper,1
hundreds,2
confided,1
forehead,2
impossible,1
guides,1
master,1
eleven,1
piled,1
career,2
enchantment,1
what,47
matters,11
planet,69
different,6
would,63
although,1
remember,5
asunder,1
morningGood,2
pleasure,3
sunlight,1
another,12
suddenly,3
sea,3
spectacle,1
certainly,6
adventures,1
loves,2
surely,1
chose,2
setting,2
owned,2
hundredandone,1
Accepted,1
strictly,1
glance,3
obliged,2
hair,3
rag,1
noise,3
sums,1
pencils,1
style,1
j,4
image,1
turning,1
risks,1
grave,1
return,3
closed,2
THE,1
fiftyfour,1
sevenhundredthirtyone,2
locks,1
if,51
good,24
conceited,11
sigh,2
glittering,1
memories,2
isolated,1
world,12
lucky,1
aloneall,1
baobab,4
fifth,2
rushing,1
perfumed,1
doll,1
Matters,1
Prince,2
You,62
happen,1
daybreak,2
grownup,3
running,1
follows,1
Good,23
own,14
During,1
names,1
inhabited,8
must,19
unscrew,1
problem,2
My,16
glad,4
saying,4
big,5
sank,1
fell,3
carefully,5
digestion,1
neither,2
Having,1
felt,10
wore,1
heavens,2
coloured,1
up,26
Thirty,2
shells,1
inquiry,3
unnecessary,1
going,5
Make,1
human,3
ballet,1
excuse,4
grainfields,1
Yet,1
pulled,1
Number,5
seek,1
Twelve,1
doubts,1
so,64
Why,11
our,4
deeply,4
clear,2
acclaim,1
tame,9
lamps,2
chimney,1
revolution,1
broke,2
Anything,1
eat,8
friendship,1
climbed,1
tedious,1
stone,2
play,3
tames,1
keep,2
appear,2
hastily,1
minute,5
repairing,1
humanity,1
Whomever,1
Grownups,2
do,65
short,2
frightened,3
resounded,1
friend,15
all,94
interrupted,3
fumble,1
329,1
him,78
loosened,1
head,8
rest,5
plucked,1
book,5
stirred,2
had,79
torn,2
treasure,3
throne,1
ustice,1
soothes,1
hand,5
